,emp,slot,activity_type
1550,4,10,0
1551,4,11,8
1552,4,19,0
1553,2,19,12
1554,1,8,12
1555,3,13,12
1556,3,1,0
1557,3,13,0
1558,2,13,2
1559,2,13,0
1560,1,13,0
1561,2,13,0
1562,2,21,8
1563,2,21,0
1564,4,23,0
1565,4,8,0
1566,4,8,0
1567,4,8,0
1568,2,5,0
1569,2,5,0
1570,2,5,0
1571,2,16,0
1572,2,1,0
1573,3,1,0
1574,3,23,0
1575,4,18,0
1576,2,18,0
1577,4,20,0
1578,2,20,0
1579,2,20,0
1580,3,6,0
1581,3,6,0
1582,4,7,0
1583,3,7,0
1584,2,17,0
1585,3,22,0
1586,2,23,0
1587,2,21,0
1588,4,9,0
1589,4,12,4
1590,2,19,0
1591,1,17,0
1592,4,2,0
1593,4,24,0
1594,1,24,0
1595,4,24,0
1596,3,2,0
1597,4,24,0
1598,3,6,0
1599,1,1,0
1600,1,2,0
1601,1,2,0
1602,1,2,0
1603,1,2,0
1604,3,3,0
1605,3,22,0
1606,3,6,0
1607,4,1,0
1608,2,1,0
1609,4,16,0
1610,4,15,0
1611,4,15,4
1612,4,15,0
1613,4,15,0
1614,4,15,8
1615,4,14,8
1616,4,14,8
1617,4,14,0
1618,3,14,8
1619,1,20,0
1620,4,23,0
1621,1,23,0
1622,4,8,0
1623,4,20,0
1624,1,7,0
1625,1,17,2
1626,1,13,8
1627,1,15,2
1628,1,16,2
1629,1,21,2
1630,4,3,0
1631,4,12,4
1632,4,12,0
1633,2,15,0
1634,2,8,2
1635,1,22,0
1636,1,18,2
1637,1,13,2
1638,1,9,2
1639,1,9,2
1640,1,9,2
1641,2,9,2
1642,2,12,2
1643,2,12,2
1644,3,18,0
1645,3,24,0
1646,2,21,0
1647,4,16,0
1648,4,1,0
1649,1,2,0
1650,1,1,0
1651,1,1,0
1652,4,15,0
1653,4,15,8
1654,4,12,8
1655,4,2,0
1656,1,2,0
1657,1,6,0
1658,4,1,0
